Algorithm,Environment,Experiments,Mean_Max_Reward,Std_Max_Reward,Min_Max_Reward,Max_Max_Reward,All_Max_Rewards
BC,Ant,5,1631.4937676936515,746.0349033646539,844.0538406364387,2467.610842494061,"[923.0971877639572, 2267.685270905252, 844.0538406364387, 2467.610842494061, 1655.0216966685489]"
BC,HalfCheetah,5,221.2382539801994,122.2035776453545,109.95385058454522,417.5228440440496,"[238.74094859905452, 109.95385058454522, 210.38009351198144, 129.59353316136622, 417.5228440440496]"
BC,Hopper,5,1034.351025955677,349.6975906941197,559.4053350359202,1326.9157577753067,"[763.1248982131481, 1326.9157577753067, 559.4053350359202, 1288.9284882038833, 1233.380650550127]"
BC,Humanoid,5,418.13056522846216,25.028426569904532,383.4963195800781,446.4230113506317,"[383.4963195800781, 446.4230113506317, 408.544566988945, 438.0727013349533, 414.11622688770296]"
BC,Walker2d,5,384.40806202619103,56.5664745758121,323.6601317465538,447.8316893055218,"[447.8316893055218, 441.7023389816284, 352.7854558497667, 356.0606942474842, 323.6601317465538]"
AIRL,Ant,5,991.3994849108533,8.411733217457527,979.9092122666073,999.9368193297648,"[996.8760763735976, 999.9368193297648, 985.3974519893528, 994.8778645949438, 979.9092122666073]"
AIRL,HalfCheetah,5,2251.4063146326057,767.6610003341005,913.5476441527752,2857.332241970888,"[913.5476441527752, 2857.332241970888, 2391.6027888214394, 2494.974177766597, 2599.5747204513304]"
AIRL,Hopper,5,13.510693093538285,2.0607728771201606,11.624699495732784,16.483788055181503,"[11.624699495732784, 12.417701488733291, 14.816754844784736, 16.483788055181503, 12.210521583259103]"
AIRL,Humanoid,5,281.3766015625,64.96225464565048,222.2064965248108,379.5844078302383,"[222.2064965248108, 222.80361289978023, 379.5844078302383, 298.6573952198029, 283.63109533786775]"
AIRL,Walker2d,5,72.78905734951798,134.37988838565465,4.896942836869857,312.89633486093953,"[22.760062545137043, 4.896942836869857, 12.988937495389838, 10.403009009253584, 312.89633486093953]"
GAIL,Ant,5,996.8504288730397,4.726739546849394,989.526581144426,1001.138038064167,"[1001.138038064167, 994.7778401142916, 999.3937404273078, 999.4159446150064, 989.526581144426]"
GAIL,HalfCheetah,5,1298.8423939151448,176.4576199326094,1091.7755115468367,1463.633843779334,"[1091.7755115468367, 1383.1295905797858, 1430.3642554121254, 1125.3087682576436, 1463.633843779334]"
GAIL,Hopper,5,3675.9474212062364,8.22018390711695,3662.9764071017503,3682.396317067743,"[3681.882604679465, 3672.70170930326, 3662.9764071017503, 3682.396317067743, 3679.7800678789617]"
GAIL,Humanoid,5,508.4241179585457,29.261398332217055,464.75792940855024,538.2086182117462,"[538.2086182117462, 531.2388316273689, 509.901283454895, 498.013927090168, 464.75792940855024]"
GAIL,Walker2d,5,4158.143352356181,1544.628919811529,2413.4862215399744,5449.636614278704,"[2527.26312827468, 5449.636614278704, 2413.4862215399744, 5213.212504670397, 5187.118293017149]"
