Round,Reward
1,4.896942836869857
2,0.3535529140848666
3,-1.583039982523769
4,-2.633682822081028
5,-3.3807182922959327
6,-3.7772413417696953
7,-4.212626720964908
8,-4.49690333455801
9,-4.6762560531497
10,-4.776217353343964
11,-4.9440955251455305
12,-5.023147656023502
13,-5.107232438027859
14,-5.2065470352768894
15,-5.341663876175881
16,-5.364375607669354
17,-5.40166976004839
18,-5.468890942633152
19,-5.472105987370014
20,-5.636400954425335
21,-5.671070845425129
22,-5.688153250515461
23,-5.73550763130188
24,-5.77917827963829
25,-5.708695019781589
26,-5.704135316610336
27,-5.734804454445839
28,-5.787810835242271
29,-5.83141340315342
30,-5.777139845490456
31,-5.717566233128309
32,-5.712872019410133
33,-5.694108004122972
34,-5.772653098404407
35,-5.749327349662781
36,-5.774127335473895
37,-5.74048181232065
38,-5.73231260292232
39,-5.705878679081797
40,-5.599359680898488
41,-5.558043881691992
42,-5.486447209818289
43,-5.457258696557256
44,-5.417030383646488
45,-5.375999816466356
46,-5.394028503331356
47,-5.362323027022649
48,-5.326290467579383
49,-5.348203299404122
50,-5.356933216721518
51,-5.330693761759903
52,-5.293389213382033
53,-5.267933314782567
54,-5.275993141171057
55,-5.259793405735399
56,-5.210219501238316
57,-5.194109242735431
58,-5.194816385093145
59,-5.184710452938452
60,-5.170774599071592
61,-5.088022443070076
62,-5.066385854873806
63,-4.986755471641663
64,-4.993203917134087
65,-4.930696404818446
66,-4.859998336923309
67,-4.792675259965472
68,-4.723939919676923
69,-4.702104283031076
70,-4.661615146324039
71,-4.640535839404038
72,-4.6044780887197705
73,-4.543919761004508
74,-4.515730928911944
75,-4.456612153926107
76,-4.403785415505991
77,-4.376702985222801
78,-4.335003799613332
79,-4.303240571246715
80,-4.285561379755381
81,-4.237396094508585
82,-4.190743752359412
83,-4.165649531019153
84,-4.09596073909197
85,-4.057920974510489
86,-3.998781223202241
87,-3.922594481438864
88,-3.8717225693166255
89,-3.871358531084843
90,-3.826104836104787
91,-3.8216037497331854
92,-3.791080878791399
93,-3.7602762438822537
94,-3.764334813578466
95,-3.758783701318316
96,-3.77190072452504
97,-3.749251050694147
98,-3.734884681040421
99,-3.774476541625336
100,-3.831751342141069
101,-3.8430052464827895
102,-3.8529491297435015
103,-3.8597753242589534
104,-3.816339430399239
105,-3.770275105629117
106,-3.7798916564323006
107,-3.779077179264277
108,-3.821687927935273
109,-3.832126892451197
110,-3.850114118494093
111,-3.800683786068112
112,-3.7074599521234632
113,-3.6986633718945088
114,-3.6858152164146314
115,-3.672232472803444
116,-3.6754601447843016
117,-3.6300021881237625
118,-3.647642557229847
119,-3.644456229731441
120,-3.62136758454144
121,-3.634353158902377
122,-3.6475017608143383
123,-3.6883048256859183
124,-3.6938916677609086
125,-3.703376544825733
126,-3.7179058328270913
127,-3.734263239428401
