Round,Reward
1,10.403009009253584
2,-4.223011480199057
3,-8.943651364290417
4,-2.7006259276007767
5,-4.092635364457965
6,-5.422385992854833
7,-6.165133065247209
8,-6.647811454534531
9,-7.550830102711916
10,-7.242100662738085
11,-7.720376835204661
12,-7.703403015658841
13,-7.601209236355499
14,-7.375596954673528
15,-6.732234971038997
16,-6.711896399781108
17,-6.703891380876303
18,-6.733173560351133
19,-6.750425857305527
20,-6.766835691034794
21,-6.676702778041363
22,-6.673682014644146
23,-6.575524542480707
24,-6.471631189435721
25,-6.430685250461101
26,-6.387272173166275
27,-6.340340110659599
28,-6.260391092300415
29,-6.194605837762356
30,-6.013272228837013
31,-5.907202981412411
32,-5.8428941205143925
33,-5.671013055741787
34,-5.562568561732769
35,-5.503159175813198
36,-5.42392733246088
37,-5.379630072414875
38,-5.326443620026112
39,-5.317245005071163
40,-5.259150776267052
41,-5.19608808606863
42,-5.150960385799408
43,-5.095545093715191
44,-5.072179557383061
45,-4.985194285213948
46,-4.905351193249226
47,-4.912321953475475
48,-4.9883141502738
49,-4.991469226777554
50,-4.968620875477791
51,-4.941934354603291
52,-4.907474371790886
53,-4.788074912130833
54,-4.672772991657257
55,-4.619771341979504
56,-4.594038142263889
57,-4.579341949522496
58,-4.619918288290501
59,-4.581301249563694
60,-4.666770640015602
61,-4.57492295652628
62,-4.691010703146458
63,-4.765016213059425
64,-4.708980938792228
65,-4.644125095009803
66,-4.720054846256971
67,-4.74016776829958
68,-4.985699032992125
69,-5.363355190306902
70,-5.534696844220162
71,-5.676247312873602
72,-5.781820438057184
73,-5.767488497495651
74,-5.780350741744042
75,-5.771768920123577
76,-5.780364306271077
77,-5.864798130095005
78,-5.975217135250569
79,-6.075851386785507
80,-6.193557386100292
81,-6.2907624542713165
82,-6.381146171689034
83,-6.457141952216626
84,-6.532885709404946
85,-6.570463331043721
86,-6.6118388891220095
87,-6.625240425765514
88,-6.612786990404129
89,-6.64000587016344
90,-6.589482651650906
91,-6.49777500629425
92,-6.554839250445366
93,-6.570513716340065
94,-6.628796550631523
95,-6.560731004178524
96,-6.626179242134095
97,-6.541270335018635
98,-6.548619148135185
99,-6.430098141729832
100,-6.333924323320389
101,-6.278064748644828
102,-6.212024796009064
103,-6.192990556359291
104,-6.169005338847637
105,-6.1069276034832
106,-6.167442631721497
107,-6.460349579155445
108,-6.544316670298576
109,-6.527957862615585
110,-6.527747665345669
111,-6.391495622694492
112,-6.35003202855587
113,-6.236992584168911
114,-6.072053952515125
115,-6.025026771426201
116,-5.991690969467163
117,-5.846091452240944
118,-5.703206491470337
119,-5.536519430577755
120,-5.476998892426491
121,-5.487578094005585
122,-5.42517102509737
123,-5.371384117007255
124,-5.310557848215103
125,-5.209167940914631
126,-5.186197790503502
127,-5.132114912569523
128,-5.098436446487904
129,-5.125930919498205
130,-5.087534069269895
131,-5.115534481406212
132,-5.0945585206151005
133,-5.055233643203974
134,-5.030342686921358
135,-4.942938082665205
136,-4.885285225510597
137,-4.796381613612175
138,-4.694005911424756
139,-4.672408226132393
140,-4.546845762978774
141,-4.452840695524356
142,-4.385110812634229
143,-4.3000022355467085
144,-4.238751235604286
145,-4.116818074509501
146,-4.064499861001968
147,-4.038190343976021
148,-3.92929759491235
149,-3.9302332061342895
150,-3.883742075227201
151,-3.8468064961954953
152,-3.848478566855192
153,-3.874087980017066
154,-3.8748431649059056
155,-3.89814596362412
156,-3.876563853025437
157,-3.881630676612258
158,-3.889699357748032
159,-3.871216998621821
160,-3.887825226783753
161,-3.904578347504139
162,-3.989080500043928
163,-4.111579487842391
164,-4.127740976936184
165,-4.076724115188699
166,-4.035598270618356
167,-3.998286082409322
168,-3.980870615877211
169,-3.9286841660737992
170,-3.870541450753808
171,-3.853619711101055
172,-3.821374116465449
173,-3.799441929906607
174,-3.8197025030851366
175,-3.839330565556884
176,-3.8641208902001374
177,-3.9104034051299097
178,-3.84342689588666
179,-3.864504811540246
180,-3.836799782142043
181,-3.859646836295724
182,-3.890513378940523
183,-3.899512095376849
184,-3.903333423659205
185,-3.886889226362109
186,-3.880826897546649
187,-3.862283063400537
188,-3.91014703232795
189,-3.9317422477062793
190,-3.9443991504376754
191,-3.996724499616721
192,-3.9069435616838746
193,-3.889296876150184
194,-3.873571703862399
195,-3.841008550720289
196,-3.9080275781452656
197,-3.9193449440412222
198,-3.938956384086669
199,-3.926621929253451
200,-3.902770583739039
201,-3.8926249376963824
202,-3.890982737229206
203,-3.859506638441234
204,-3.849608174152672
205,-3.834623717330396
206,-3.83909795852378
207,-3.882194314646768
208,-3.926915167637344
209,-3.939441689185332
210,-3.894609863613732
211,-3.867761791273369
212,-3.867474057525397
213,-3.864368506078608
214,-3.9011377899791113
215,-3.938955474738032
216,-3.9193394144997
217,-3.9045899332501
218,-3.862550141476095
219,-3.8510858327150346
220,-3.8503023657947777
221,-3.83201231462881
222,-3.8131123483181
223,-3.823829814605415
224,-3.8248687643557786
225,-3.831896805949509
226,-3.831581607414409
227,-3.819627420476172
228,-3.7960480300011112
229,-3.7695020322222255
230,-3.7487422802019865
231,-3.732064423616976
232,-3.7202334800269456
233,-3.725967987673357
234,-3.730298471450806
235,-3.7289795662276446
236,-3.722542619146407
237,-3.704359080828726
238,-3.6776471716351806
239,-3.6574765177443616
240,-3.657139531010762
241,-3.661046190737397
242,-3.6603660104854496
243,-3.66924442704767
244,-3.679215598059818
245,-3.675072800833732
246,-3.6843105049571023
247,-3.692487248522229
248,-3.6946382776048265
249,-3.695131207932718
250,-3.69572222740926
251,-3.7008284700306833
252,-3.6968403208942617
253,-3.701109618379269
254,-3.69849825403071
255,-3.701499071312719
256,-3.697568339201825
257,-3.689648867864162
258,-3.682570305466652
259,-3.6977633226895694
260,-3.7067368962452742
261,-3.711595677823061
262,-3.7119176854845137
263,-3.728985608532093
264,-3.728772857796866
265,-3.7405132060637696
266,-3.7532907780259848
267,-3.755051200126764
268,-3.764037561765872
269,-3.742988615296781
270,-3.836010640417226
271,-4.07849200940691
272,-4.23141346424818
273,-4.3110032141208645
274,-4.411917112022638
275,-4.492381139844656
276,-4.565145394206047
277,-4.637829230725766
278,-4.662108433246613
279,-4.685998852550983
280,-4.748869469761848
281,-4.803488549590111
282,-4.873297342658043
283,-4.913350032269955
284,-4.950053910911083
285,-4.981424140930176
286,-5.002881224453449
287,-5.219682869315148
288,-5.393045003712177
289,-5.568166367709637
290,-5.573056496679783
291,-5.581414310634136
292,-5.569594740867615
293,-5.587034218013287
294,-5.585374867916107
295,-5.577328903973102
296,-5.580304250121117
297,-5.580587001144886
298,-5.597410808503628
299,-5.610454323887825
300,-5.5772340700030325
301,-5.555592642724514
302,-5.541100412607193
303,-5.540813022851944
304,-5.560673703253269
305,-5.563137075304985
306,-5.580415724217891
307,-5.585797415673733
308,-5.590976430475712
309,-5.617149192094803
310,-5.618800565600395
311,-5.628758423030376
312,-5.616395217180252
313,-5.590018025040626
314,-5.578918497264385
315,-5.566563257575036
316,-5.57483284920454
317,-5.538122902810573
318,-5.528615491092205
319,-5.484734280407428
320,-5.484358562529087
321,-5.469501784443855
322,-5.442407338321209
323,-5.436790509521961
324,-5.4333351537585255
325,-5.421639116108418
326,-5.401690644025803
327,-5.4001024320721625
328,-5.360742002725601
329,-5.351165512204171
330,-5.3163068607449535
331,-5.275079862773419
332,-5.288320790231228
333,-5.240772958099842
334,-5.194434134662151
335,-5.135217173397541
336,-5.090359053015709
