Round,Reward
1,994.7778401142916
2,989.403036539466
3,979.5268945157528
4,966.847564358078
5,956.1806752540172
6,962.2163527425612
7,954.2261311942711
8,940.1984046594704
9,907.5335669124472
10,883.4633991312236
11,816.376229143422
12,747.7044598561246
13,616.799967795983
14,493.8843105872628
15,377.1210532426834
16,194.67427492341372
17,96.49120891480123
18,-80.72619202725764
19,-333.46065785660466
20,-615.776998989287
21,-1004.1830203018088
22,-1365.9072478653864
23,-1513.422240949422
24,-1680.6217416586355
25,-1739.65741794575
26,-1914.1253287382424
27,-2073.094296306372
28,-2136.1591490000487
29,-2247.8137110039597
30,-2321.5256841689347
31,-2421.204544868227
32,-2514.324222092692
33,-2639.878021132946
34,-2586.5862865068484
35,-2611.0286244019867
36,-2708.034297563136
37,-2864.6221677154304
38,-2935.040900889784
39,-2814.7611778110268
40,-2824.885430812836
41,-2911.0838116906584
42,-2862.862328416109
43,-2827.069242943823
44,-2843.315961333364
45,-2758.9007964000107
46,-2799.2920588471
47,-2758.947619570792
48,-2775.775297658145
49,-2719.91393070817
50,-2774.73607480675
51,-2759.365083236992
52,-2619.5672341684576
53,-2724.9870365691954
54,-2684.6294193821027
55,-2700.622767434642
56,-2687.9526621609925
57,-2642.849242421985
58,-2621.5897930525243
59,-2608.1615431427954
60,-2528.067826823518
61,-2526.292829691246
62,-2501.1622596776115
63,-2563.0249174236787
64,-2545.324821841344
65,-2533.3808958634268
66,-2587.9006179369985
67,-2640.626829546271
68,-2634.423608225491
69,-2640.322567944788
70,-2611.0629595274104
71,-2604.595783227682
72,-2613.79087321898
73,-2600.4420940028504
74,-2590.8580149519257
75,-2624.763264743239
76,-2599.9919328584338
77,-2516.667707507778
78,-2517.75412159923
79,-2529.841244746349
80,-2579.177378951385
81,-2453.7165053676813
82,-2448.0457848954857
83,-2425.3865757031367
84,-2451.954221196333
85,-2470.867780412105
86,-2471.18304077941
87,-2493.4199234880507
88,-2500.6772765411297
89,-2498.3949485579737
90,-2490.926514992071
91,-2491.680127344513
92,-2490.9010900339117
93,-2451.3699910135874
94,-2466.597157451324
95,-2460.4162380450407
96,-2484.1842181640213
97,-2468.8848640181704
98,-2447.8816796417814
99,-2406.0150536029805
100,-2401.1944314223247
101,-2366.7592854907766
102,-2351.4328805816594
103,-2437.4225502213
104,-2427.393058627099
105,-2495.14408775582
106,-2514.6752341747283
107,-2505.397769045178
108,-2514.473611010856
109,-2546.350437932974
110,-2552.974708920904
111,-2543.216711167991
112,-2531.4752947278203
113,-2531.33389344574
114,-2425.096358077301
115,-2435.5797860913444
116,-2114.724287493946
117,-2241.1442354131723
118,-2322.6874693615127
119,-2319.1990347601472
120,-2281.402479462419
121,-2286.748662825906
