Round,Reward
1,1001.138038064167
2,986.845534723252
3,978.4249136805536
4,981.202476069075
5,953.4640626180916
6,915.7385539416224
7,883.6794694938696
8,838.642034490779
9,738.2874585476936
10,696.914504830446
11,611.1735476954375
12,549.063915503188
13,463.52330664482434
14,409.6985155030619
15,305.08627677396873
16,221.6165314685786
17,168.0488397391814
18,84.7390319057944
19,-64.59859981540731
20,-139.61535990388364
21,-413.07183619924473
22,-654.40176370556
23,-939.9398988071946
24,-1253.2332632482576
25,-1630.510212444735
26,-1704.2694881069474
27,-1831.615990876581
28,-1954.5843269238017
29,-2151.354775712965
30,-2210.707622312196
31,-2336.8926722450183
32,-2381.641463851681
33,-2384.910580727621
34,-2489.068509187456
35,-2544.818252210692
36,-2596.5212679859715
37,-2599.952318076137
38,-2538.011177602783
39,-2347.510734478384
40,-2319.633546730876
41,-2352.819736671448
42,-2381.7494837902486
43,-2433.3545385245234
44,-2408.9261731877923
45,-2414.310247991979
46,-2416.7285684658214
47,-2361.6030206581577
48,-2254.564845657954
49,-2158.977290387452
50,-2036.1074584536252
51,-1933.904451995343
52,-1865.3697466496376
53,-1858.0600793711608
54,-1883.579528688267
55,-1926.1104817816988
56,-1891.993538930267
57,-1914.0493822678925
58,-1899.422855785489
59,-1918.905170150148
60,-1964.7878639344128
61,-1915.9700461132447
62,-1858.8094362163447
63,-1791.1813962448389
64,-1791.0839637445283
65,-1724.645979916863
66,-1764.745516635105
67,-1751.9304831681773
68,-1716.1325895337388
69,-1672.2388311203802
70,-1685.5504051710363
71,-1723.0717176681385
72,-1735.378149156459
73,-1738.2796436908654
74,-1763.205576460084
75,-1783.3617722092197
76,-1828.7548040592228
77,-1848.486915871245
78,-1777.3644920638471
79,-1785.4857305198443
80,-1778.8860501656775
81,-1778.623722049873
82,-1804.9675119018184
83,-1723.3034394777849
84,-1699.1104575141344
85,-1706.6301261696965
86,-1593.2977614288218
87,-1569.796932031773
88,-1475.434266706492
89,-1490.347878717957
90,-1340.1662936665584
91,-1536.031816861406
92,-1297.3483745799574
93,-1375.955105771846
94,-1502.4790795139038
95,-1268.8131778870943
96,-1304.872689418192
97,-1229.910701143503
98,-1309.6626912276029
99,-1477.6519948597063
100,-1304.6387147539178
101,-1354.7985578517778
102,-1196.748698528856
103,-1151.1202947311103
104,-1325.1808851292358
105,-1347.6125200576032
106,-1130.2355376357257
107,-1132.6383691702736
108,-1045.7536503890765
109,-984.1048016778192
110,-1272.670402854064
111,-1280.552209633379
112,-1292.8124706562403
113,-1051.405283623538
114,-938.79793307879
115,-1004.517479985574
116,-1038.7701817662223
117,-1073.6469740092173
118,-1035.917776693002
119,-1192.6391448397596
120,-1377.7264828711282
121,-1188.9084304520077
122,-1162.0645443043438
123,-831.7804016923619
124,-668.297624581182
125,-850.7539757911582
126,-980.7007121148984
127,-1158.093030855851
128,-980.1696879022172
129,-1168.6779801773257
130,-781.8766692866105
131,-849.1544753245137
132,-837.8278227483621
133,-1199.2061188349994
134,-1188.8163452197448
135,-1159.3464383119658
136,-1211.528339364729
137,-1588.6052367140303
138,-1420.391307884059
139,-1370.4865486812546
140,-1040.487212340557
141,-1079.4941588644724
142,-1293.280786956579
143,-1674.794692341145
144,-1333.3583566594402
145,-1533.029279227229
146,-1319.6389301880613
147,-1613.704773946351
148,-1362.4421314805743
149,-1627.2782774742634
150,-1737.820694855298
151,-1409.1884827840956
152,-1596.47046359432
153,-1214.4082682327426
154,-1241.7583359288326
155,-1393.790595232416
156,-1738.5774879894043
157,-1672.9729047080036
158,-1829.384071236091
159,-1957.1094720100868
160,-2092.570016099853
161,-1967.958463775803
162,-1916.24181567919
163,-1917.0366985053247
164,-1746.4733946024528
165,-2031.893886341516
166,-1719.439174497337
167,-1993.8994500473884
168,-1610.414725512918
169,-1445.5299594113835
170,-1427.341011317214
171,-1645.8285135472192
172,-1785.5278593450143
173,-1987.7502838838204
174,-2127.5659974185983
175,-1779.3728039450712
176,-2277.053674953245
177,-2232.6624298011598
178,-2123.894895677361
179,-1988.993371068113
180,-1994.199340416072
181,-2262.0450901307167
182,-2055.64228061497
183,-2019.058461595037
184,-2269.078176056012
185,-2028.0119529384651
186,-1909.2732927945935
187,-2039.089684495772
188,-2273.2079333510947
189,-1786.315144361183
190,-1569.2404990412992
191,-2015.8292298434824
192,-2039.464517662907
193,-2176.649969842122
194,-2011.1658018175451
195,-2129.239678332547
196,-1536.4701225252588
197,-1944.0317105871216
198,-1784.0864394838427
199,-2237.0372122760864
200,-2025.946193529811
201,-1458.1443374180817
202,-1851.387394388998
203,-2074.2244996659456
204,-1915.9941201574047
205,-1887.8717455322503
206,-1993.1485777638848
207,-2292.594894656133
208,-2148.1305839418883
209,-1717.9555239956128
210,-2060.169689493859
211,-1984.8188951418736
212,-1891.145835359092
213,-1941.591460170204
214,-1825.961118486384
215,-1869.1825025827968
216,-1829.1944077012129
217,-1652.463851834496
218,-1628.064759020228
219,-2073.911839788593
220,-1417.3379973026342
221,-1265.5398170922415
222,-1369.6401241405692
223,-1212.5079154594684
224,-1391.367847455526
225,-1582.4650739817414
226,-1867.2664681242527
227,-1799.6256790428772
228,-1585.4866635736878
229,-1642.1020433850165
230,-2113.339037197386
231,-2085.1857389057054
232,-2401.1713263363117
233,-2115.117059828178
234,-2011.9359327901157
235,-2253.501131651108
236,-1908.3938641238724
