Round,Reward
1,-0.1767552960360724
2,-1.1245988378577294
3,-4.00122015931413
4,-6.048832353205012
5,-12.31078744954034
6,-22.968111324155775
7,-35.23953296974351
8,-40.593747437813
9,-20.416994583056567
10,-36.81600147260813
11,-28.71013208186124
12,-28.04111285449344
13,-41.66841760504135
14,-49.22360599136736
15,-51.57433401302024
16,-62.28900585049996
17,-34.24234334512712
18,-27.989586188452968
19,-28.668228642106715
20,-40.97267471581072
21,-33.788063207238245
22,-32.468709915886755
23,15.27127081104793
24,9.896073041150476
25,121.5227598630252
26,74.6499877258575
27,32.838681914012525
28,56.69039332297044
29,-13.893276213323407
30,-6.303821391246311
31,12.278553458592976
32,117.0068216089082
33,72.29979865477867
34,105.4352599050355
35,113.65194853985176
36,-93.74444162009408
37,-23.648143937838174
38,62.42772018859714
39,107.97649177419946
40,-0.4533928047496999
41,94.92378936391653
42,99.16224579325092
43,129.88691169913054
44,77.32054830861598
45,3.5864215919020355
46,58.20188207370497
47,16.080592532182344
48,-200.91677887626943
49,-215.03146844154807
50,-272.6990362856635
51,-173.74577095974848
52,-81.00193917456599
53,-124.19496003263002
54,-109.99868535814748
55,-157.7465653688432
56,-143.41981397349696
57,-125.72013124998772
58,-107.55738820056813
59,-118.47928589155444
60,-82.21173659343307
61,-75.18087250527734
62,-9.403866790137318
63,9.133329057280662
64,1.3447322144695475
65,38.43212918985701
66,-0.6553735935514851
67,-16.659907851939217
68,-2.444823230555335
69,18.564959972356814
70,-4.286382379256247
71,3.482188363522846
72,-51.13021841767621
73,-32.69696839328428
74,-16.239651286021218
75,-24.844984537880464
76,1.749454520092695
77,-35.55014315419451
78,-42.79703569928679
79,-60.51736900349454
80,-5.769180894239867
81,4.146997170661052
82,9.917454741319307
83,62.75941352920572
84,17.209413347399458
85,-7.9653178257841715
86,-22.062735595591768
87,22.62327811016312
88,19.7038507137162
89,-68.1342656228655
90,-31.15648034615465
91,-94.76676650216852
92,-59.431379836558335
93,-76.50594189645417
94,-149.19727879871783
95,-78.05758989926908
96,-144.08241709278155
97,-151.3458426048849
98,-186.2456280160376
99,-203.67939770495272
