Round,Reward
1,-0.4539910998625139
2,-1.5686711798610644
3,-4.4608564767444765
4,-10.03749501301245
5,-16.827901274391387
6,-25.47936923522269
7,-34.824843876292604
8,-49.80110536341495
9,-57.89526507623668
10,-76.05960244041437
11,-155.57850338442216
12,-99.71227836449398
13,-106.01715527410664
14,-101.60636077087784
15,-134.96294779347954
16,-155.78695156747852
17,-147.48207276109605
18,-131.503205409761
19,-124.9532914046329
20,-103.8758454975934
21,-80.85065049892656
22,-29.10623284721114
23,2.268951610781835
24,-27.40645672772439
25,-59.452598943746125
26,-61.19588284343372
27,-42.19250950658316
28,-49.29631873225062
29,-50.73521589698648
30,-51.64287753426288
31,-92.42307538860912
32,-128.84187186054913
33,-156.99371211387043
34,-224.57411802380813
35,-197.810826839658
36,-177.59531672182783
37,-217.2308400883921
38,-264.2307278664608
39,-235.3428329544608
40,-218.7264471018945
41,-183.27048769838729
42,-303.9641586227641
43,-260.8450131112768
44,-303.90174270572606
45,-215.0001579231699
46,-201.7096349310712
47,-294.56301448917657
48,-275.4080222830991
49,-317.99855894150824
50,-292.4176176738853
51,-366.9053458919283
52,-326.0035412858168
53,-360.7373158459901
54,-344.7972518793016
55,-157.19955550543432
56,-153.4340015976461
57,-115.7856945441822
58,-74.4301709838639
59,-212.964682899716
60,-156.29151629967
61,-193.14028646586996
62,-187.98468463610897
63,-80.36644866733495
64,-121.74615815920129
65,-249.47710189596535
66,-291.3591619441057
67,-330.5973370860702
68,-354.9298737271062
69,-326.3007927746141
70,-259.5990319625722
71,-413.26993404882495
72,-422.1496981391465
73,-338.5281637153312
74,-37.3745930360722
75,-48.539748727446565
76,8.46094355922869
77,-86.52199235590399
78,-215.1341799718076
79,-282.7395529873196
80,-188.3289431741932
81,-290.4267665365845
82,-203.78592915228472
83,-153.34659067209677
84,-190.74138476724
85,-107.38100364950404
86,-127.5132538575912
87,28.28822112116732
88,209.6855271178493
89,280.310081071743
90,319.3976208891727
91,342.3239384379591
92,323.8714937538578
93,314.739872179255
94,345.4479397727821
95,300.2662370721938
96,364.1171853395063
97,405.0308012543232
