Round,Reward
1,-234.08158187075213
2,-434.4248131087003
3,-556.589817989744
4,-561.9560683009817
5,-485.9362462351193
6,-388.1870077742518
7,-336.2889561004531
8,-290.82372050244913
9,-202.1053769943977
10,-260.4993422963884
11,-235.4371409404669
12,-259.8552753927488
13,-194.4187669298641
14,-167.35932209089023
15,-164.66943746079852
16,-154.4053786082708
17,-166.14723927863707
18,-204.5783649611212
19,-216.0130340493437
20,-223.24599137090604
21,-200.27878624069072
22,-142.20992041923182
23,-189.04020201374388
24,-140.33366572964823
25,-142.52163127045642
26,-174.4171554287037
27,-141.49007597218196
28,-154.29466280738015
29,-93.46441996646844
30,-157.00803002344165
31,-126.19753291886192
32,-80.19673948844749
33,-122.77226000124236
34,-138.5205264397199
35,-197.17389508581329
36,-176.45526842625387
37,-116.068078232899
38,-147.79420883452812
39,-247.08788608144317
40,-142.18252976592302
41,-192.1309738273212
42,-134.28187523687512
43,-177.9590975711921
44,-144.99941961835663
45,-106.35430136402616
46,-194.02969187310336
47,-147.30235000228132
48,-133.6190924983367
49,-161.13167659217288
50,-206.05069058464144
51,-158.31742583273663
52,-248.6644599625667
53,-144.77037817363168
54,-182.32061497913483
55,-121.7839380706253
56,-114.78745376063016
57,-144.52744989712627
58,-101.92610421337352
59,-153.0034681836769
60,-62.4535677797885
61,-216.3410946715596
62,-160.41184933952368
63,-114.88929424820708
64,-150.08689665629063
65,-159.51401058424307
66,-193.1640348708569
67,-149.99813772669512
68,-117.11794567259896
69,-177.3560109056747
70,-235.9993162948318
71,-143.93090361989715
72,-142.3525957985621
73,-206.0832878960886
74,-56.62634764008635
75,-97.22425698104344
76,-161.32900510371925
77,-143.2121243425645
78,-51.61705989438415
79,-127.09301150021392
80,-215.52821920067652
81,-146.5248568310799
82,-77.61833756655423
83,-103.26851437888982
84,-227.2852775882369
85,-87.1564247521786
86,-154.70908449889794
87,-126.80596897309624
88,-25.154701576913432
89,-122.85856420187956
90,-104.4985925027674
91,-121.14197328644222
92,-146.36079412276302
93,-66.31813239662078
94,-142.67116074270888
95,-13.438607848967148
96,-178.17121041435274
97,-182.6990700315734
98,-105.59487093291446
99,-30.36211662571186
100,-95.27897805147876
101,-87.66863476709796
102,-153.40270262187886
103,-80.96116409696697
104,-8.832822473616034
105,-35.0846706696444
106,79.97183952155301
107,-83.46441518335705
108,-59.49728123698078
109,45.140385461207
110,114.25057172526505
111,44.42258043402362
112,-173.16738374733637
113,-47.44306904832847
114,4.169385806396531
115,76.80864904549671
116,-57.8063629845099
117,-12.926485028152635
118,23.38370855974172
119,47.611849617612464
120,49.28645352064996
121,81.58596790191386
122,40.54466619975938
123,-14.498593985597836
124,75.05076944102693
125,-96.26067742520426
126,21.110073362466935
127,-92.86374378838008
128,-43.90331003738102
129,82.91364601201644
130,36.07205550915169
131,-1.7326777616427536
132,15.089119955910428
133,-102.31560768368016
134,136.13903494995537
135,134.02387433003022
136,-7.015611556005752
137,89.46158731085742
138,-7.95786715117647
139,20.88690654036618
140,58.606249265462885
141,-16.9609237471057
142,8.831979306035738
143,-20.137775509700575
144,33.91961041016039
145,-41.52016783807321
146,51.68302544120006
147,13.709533373409794
148,20.893270373429733
149,124.534738111751
150,153.10697854030113
151,134.33636373546523
152,10.562897549812623
153,163.53369344515923
154,176.186193949019
155,-79.96952271506271
156,148.7857846289822
157,27.18717194046476
158,17.73973868208941
159,204.2024433576235
160,211.88929514077896
161,22.24241177827521
162,46.89758213381083
163,93.53853262735792
164,47.057946261909095
165,13.789835627035972
166,57.82342656992323
167,75.74043614101718
168,7.590287989852368
169,78.07249805899191
170,23.38701655087097
171,30.959351038044407
172,109.57489555609664
173,128.88806653870154
174,172.32958699157933
175,181.0010567828561
176,-22.20360713162609
177,186.04825427937675
178,124.2551024214813
179,28.503454419108675
180,98.541401655253
181,36.6031995117346
182,198.82236763152545
183,131.10786843155432
184,290.0756142506515
185,198.8415992459857
186,251.8286124481569
187,86.23880855401076
188,184.6151315136379
189,122.9021444323762
190,106.37739823508672
191,228.82618103816057
192,178.68778956903844
193,103.6546576015724
194,72.93372632215451
195,147.31470039314286
196,137.1695741332638
197,56.5085609505566
198,285.06969529130794
199,163.07228038455415
200,253.41432946831355
201,117.15330609147875
202,201.1067386000941
203,86.00164633412642
204,208.01917236198204
